"","rules","support","confidence","lift","count"
"86161","{param_C=small,param_epsilon=big,param_gamma=small} => {mean_test_neg_mean_absolute_error=medium}",0.064,0.666666666666667,1.4367816091954,8
"86165","{param_C=small,param_epsilon=big,param_gamma=small} => {std_test_r2=medium}",0.064,0.666666666666667,1.41242937853107,8
"86169","{param_C=small,param_epsilon=big,param_gamma=small} => {std_train_neg_mean_squared_error=big}",0.088,0.916666666666667,1.84811827956989,11
"86171","{param_C=small,param_epsilon=big,param_gamma=small} => {std_train_neg_mean_absolute_error=big}",0.088,0.916666666666667,1.76282051282051,11
"86261","{param_C=small,param_epsilon=big,param_gamma=big} => {std_train_r2=medium}",0.096,0.666666666666667,1.46198830409357,12
"86386","{param_C=small,param_epsilon=big,param_gamma=big} => {mean_train_r2=medium}",0.096,0.666666666666667,1.4367816091954,12
"86482","{param_C=small,param_epsilon=big,param_gamma=big} => {mean_test_r2=medium}",0.096,0.666666666666667,1.4367816091954,12
"86553","{param_C=small,param_epsilon=big,param_gamma=big} => {mean_train_neg_mean_squared_error=medium}",0.096,0.666666666666667,1.4367816091954,12
"86603","{param_C=small,param_epsilon=big,param_gamma=big} => {mean_test_neg_mean_squared_error=medium}",0.096,0.666666666666667,1.4367816091954,12
"86636","{param_C=small,param_epsilon=big,param_gamma=big} => {mean_train_neg_mean_absolute_error=medium}",0.096,0.666666666666667,1.4367816091954,12
"86655","{param_C=small,param_epsilon=big,param_gamma=big} => {mean_test_neg_mean_absolute_error=medium}",0.096,0.666666666666667,1.4367816091954,12
"86673","{param_C=small,param_epsilon=big,param_gamma=big} => {std_test_r2=medium}",0.112,0.777777777777778,1.64783427495292,14
"86680","{param_C=small,param_epsilon=big,param_gamma=big} => {std_train_neg_mean_squared_error=big}",0.104,0.722222222222222,1.45609318996416,13
"86682","{param_C=small,param_epsilon=big,param_gamma=big} => {std_train_neg_mean_absolute_error=big}",0.12,0.833333333333333,1.6025641025641,15
"86976","{param_C=big,param_epsilon=big,param_gamma=small} => {std_train_r2=medium}",0.12,0.833333333333333,1.82748538011696,15
"87333","{param_C=big,param_epsilon=big,param_gamma=small} => {std_test_r2=medium}",0.104,0.722222222222222,1.530131826742,13
"87340","{param_C=big,param_epsilon=big,param_gamma=small} => {std_train_neg_mean_squared_error=big}",0.096,0.666666666666667,1.34408602150538,12
"87342","{param_C=big,param_epsilon=big,param_gamma=small} => {std_train_neg_mean_absolute_error=big}",0.096,0.666666666666667,1.28205128205128,12
"88096","{param_C=big,param_epsilon=big,param_gamma=big} => {std_train_r2=medium}",0.144,0.666666666666667,1.46198830409357,18
"89642","{param_C=big,param_epsilon=big,param_gamma=big} => {std_test_r2=medium}",0.144,0.666666666666667,1.41242937853107,18
"89654","{param_C=big,param_epsilon=big,param_gamma=big} => {std_train_neg_mean_squared_error=big}",0.144,0.666666666666667,1.34408602150538,18
"89657","{param_C=big,param_epsilon=big,param_gamma=big} => {std_train_neg_mean_absolute_error=big}",0.144,0.666666666666667,1.28205128205128,18
